7.05000e+00 1.74970e-01 1.32276e-03
7.15000e+00 1.32250e-01 1.15000e-03
7.25000e+00 1.01750e-01 1.00871e-03
7.35000e+00 7.95000e-02 8.91628e-04
7.45000e+00 6.37000e-02 7.98123e-04
7.55000e+00 5.07200e-02 7.12180e-04
7.65000e+00 3.89300e-02 6.23939e-04
7.75000e+00 3.08400e-02 5.55338e-04
7.85000e+00 2.49100e-02 4.99099e-04
7.95000e+00 1.93900e-02 4.40341e-04
8.05000e+00 1.49000e-02 3.86005e-04
8.15000e+00 1.16000e-02 3.40588e-04
8.25000e+00 9.35000e-03 3.05778e-04
8.35000e+00 6.98000e-03 2.64197e-04
8.45000e+00 5.05000e-03 2.24722e-04
8.55000e+00 4.20000e-03 2.04939e-04
8.65000e+00 3.53000e-03 1.87883e-04
8.75000e+00 2.27000e-03 1.50665e-04
8.85000e+00 1.94000e-03 1.39284e-04
8.95000e+00 1.40000e-03 1.18322e-04
9.05000e+00 1.04000e-03 1.01980e-04
9.15000e+00 6.70000e-04 8.18535e-05
9.25000e+00 5.10000e-04 7.14143e-05
9.35000e+00 3.50000e-04 5.91608e-05
9.45000e+00 3.30000e-04 5.74456e-05
9.55000e+00 2.80000e-04 5.29150e-05
9.65000e+00 1.90000e-04 4.35890e-05
9.75000e+00 1.40000e-04 3.74166e-05
9.85000e+00 1.00000e-04 3.16228e-05
9.95000e+00 1.00000e-04 3.16228e-05
1.00500e+01 1.00000e-05 1.00000e-05
1.01500e+01 1.00000e-05 1.00000e-05
1.02500e+01 2.00000e-05 1.41421e-05
1.03500e+01 1.00000e-05 1.00000e-05
1.04500e+01 1.00000e-05 1.00000e-05
1.05500e+01 1.00000e-05 1.00000e-05
1.06500e+01 0.00000e+00 0
1.07500e+01 0.00000e+00 0
1.08500e+01 0.00000e+00 0
1.09500e+01 0.00000e+00 0
1.10500e+01 0.00000e+00 0
1.11500e+01 0.00000e+00 0
1.12500e+01 0.00000e+00 0
1.13500e+01 0.00000e+00 0
1.14500e+01 0.00000e+00 0
1.15500e+01 0.00000e+00 0
1.16500e+01 0.00000e+00 0
1.17500e+01 0.00000e+00 0
1.18500e+01 0.00000e+00 0
1.19500e+01 0.00000e+00 0
1.20500e+01 0.00000e+00 0
1.21500e+01 0.00000e+00 0
1.22500e+01 0.00000e+00 0
1.23500e+01 0.00000e+00 0
1.24500e+01 0.00000e+00 0
1.25500e+01 0.00000e+00 0
1.26500e+01 0.00000e+00 0
1.27500e+01 0.00000e+00 0
1.28500e+01 0.00000e+00 0
1.29500e+01 0.00000e+00 0
1.30500e+01 0.00000e+00 0
1.31500e+01 0.00000e+00 0
1.32500e+01 0.00000e+00 0
1.33500e+01 0.00000e+00 0
1.34500e+01 0.00000e+00 0
1.35500e+01 0.00000e+00 0
1.36500e+01 0.00000e+00 0
1.37500e+01 0.00000e+00 0
1.38500e+01 0.00000e+00 0
1.39500e+01 0.00000e+00 0
